"";"NUMID";"VPDIF";"SEGM";"NETWDIF";"REVDIF";"SPINDIF";"INTCULT";"CP";"BP";"BAL";"NOBP";"NOCP";"BOTHLOW"
"98";98;0,95;0,123;0,95;0,05;0,95;0,813;0,813;0,876;0.813;0.124;0.187;0.124
"99";99;0,271;0,726;0,123;0,95;0,05;0,618;0,498;0,498;0.498;0.498;0.498;0.502
"100";100;0,271;0,271;0,876;0,876;0,019;0,726;0,847;0,837;0.837;0.163;0.153;0.153
"101";101;0,726;0,726;0,123;0,876;0,726;0,618;0,813;0,578;0.578;0.422;0.187;0.187
"102";102;0,123;0,123;0,498;0,05;0,95;0,95;0,876;0,418;0.418;0.582;0.124;0.124
"103";103;0,123;0,726;0,123;0,876;0,019;0,921;0,847;0,726;0.726;0.274;0.153;0.153
"104";104;0,05;0,726;0,05;0,05;0,019;0,271;0,226;0,162;0.162;0.226;0.162;0.774
"105";105;0,123;0,726;0,05;0,123;0,019;0,813;0,378;0,34;0.34;0.378;0.34;0.622
"106";106;0,876;0,876;0,05;0,271;0,019;0,876;0,437;0,657;0.437;0.343;0.563;0.343
"107";107;0,95;0,95;0,05;0,95;0,019;0,618;0,079;0,068;0.068;0.079;0.068;0.921
"108";108;0,876;0,95;0,271;0,95;0,019;0,813;0,498;0,34;0.34;0.498;0.34;0.502
"109";109;0,876;0,123;0,498;0,726;0,019;0,921;0,498;0,498;0.498;0.498;0.498;0.502
"110";110;0,05;0,876;0,876;0,123;0,95;0,813;0,726;0,123;0.123;0.726;0.123;0.274
"111";111;0,95;0,95;0,726;0,726;0,019;0,079;0,813;0,908;0.813;0.092;0.187;0.092
"112";112;0,123;0,726;0,05;0,271;0,019;0,271;0,772;0,837;0.772;0.163;0.228;0.163
"113";113;0,498;0,95;0,876;0,95;0,019;0,813;0,378;0,123;0.123;0.378;0.123;0.622
"114";114;0,876;0,726;0,123;0,726;0,019;0,813;0,675;0,498;0.498;0.502;0.325;0.325
"115";115;0,271;0,271;0,498;0,498;0,019;0,498;0,772;0,498;0.498;0.502;0.228;0.228
"116";116;0,726;0,498;0,726;0,726;0,498;0,498;0,726;0,162;0.162;0.726;0.162;0.274
"117";117;0,498;0,726;0,123;0,498;0,019;0,378;0,559;0,418;0.418;0.559;0.418;0.441
"118";118;0,726;0,726;0,498;0,876;0,95;0,876;0,498;0,498;0.498;0.498;0.498;0.502
"119";119;0,95;0,726;0,726;0,95;0,019;0,813;0,847;0,418;0.418;0.582;0.153;0.153
"120";120;0,123;0,95;0,876;0,05;0,876;0,95;0,847;0,876;0.847;0.124;0.153;0.124
